reservation_status_date,COUNT(reservation_status_date)
2016-02-29,76
2016-03-01,112
2016-03-02,73
2016-03-03,45
2016-03-04,99
2016-03-05,39
2016-03-06,28
2016-03-07,63
2016-03-08,50
2016-03-09,90
2016-03-10,37
2016-03-11,45
2016-03-12,36
2016-03-13,25
2016-03-14,170
2016-03-15,260
2016-03-16,82
2016-03-17,29
2016-03-18,128
2016-03-19,27
2016-03-20,38
2016-03-21,82
2016-03-22,59
2016-03-23,62
2016-03-24,46
2016-03-25,38
2016-03-26,26
2016-03-27,29
2016-03-28,77
2016-03-29,113
2016-03-30,51
2016-03-31,66
2016-04-01,44
2016-04-02,31
2016-04-03,37
2016-04-04,257
2016-04-05,34
2016-04-06,50
2016-04-07,34
2016-04-08,44
2016-04-09,45
2016-04-10,36
2016-04-11,88
2016-04-12,63
2016-04-13,96
2016-04-14,35
2016-04-15,76
2016-04-16,34
2016-04-17,153
2016-04-18,57
2016-04-19,57
2016-04-20,37
2016-04-21,43
2016-04-22,39
2016-04-23,45
2016-04-24,34
2016-04-25,43
2016-04-26,38
2016-04-27,193
2016-04-28,55
2016-04-29,37
2016-04-30,32
2016-05-01,22
2016-05-02,58
2016-05-03,96
2016-05-04,87
2016-05-05,109
2016-05-06,88
2016-05-07,13
2016-05-08,21
2016-05-09,61
2016-05-10,78
2016-05-11,45
2016-05-12,31
2016-05-13,39
2016-05-14,29
2016-05-15,19
2016-05-16,45
2016-05-17,43
2016-05-18,55
2016-05-19,37
2016-05-20,33
2016-05-21,19
2016-05-22,31
2016-05-23,62
2016-05-24,50
2016-05-25,50
2016-05-26,21
2016-05-27,58
2016-05-28,20
2016-05-29,20
2016-05-30,48
2016-05-31,42
2016-06-01,17
2016-06-02,146
2016-06-03,28
2016-06-04,14
2016-06-05,37
2016-06-06,38
2016-06-07,59
2016-06-08,34
2016-06-09,42
2016-06-10,33
2016-06-11,15
2016-06-12,31
2016-06-13,55
2016-06-14,68
2016-06-15,58
2016-06-16,52
2016-06-17,46
2016-06-18,13
2016-06-19,41
2016-06-20,154
2016-06-21,57
2016-06-22,40
2016-06-23,22
2016-06-24,37
2016-06-25,18
2016-06-26,43
2016-06-27,40
2016-06-28,70
2016-06-29,38
2016-06-30,38
2016-07-01,33
2016-07-02,22
2016-07-03,27
2016-07-04,47
2016-07-05,44
2016-07-06,36
2016-07-07,60
2016-07-08,48
2016-07-09,30
2016-07-10,23
2016-07-11,37
2016-07-12,44
2016-07-13,147
2016-07-14,34
2016-07-15,33
2016-07-16,36
2016-07-17,27
2016-07-18,85
2016-07-19,68
2016-07-20,46
2016-07-21,63
2016-07-22,40
2016-07-23,22
2016-07-24,33
2016-07-25,52
2016-07-26,45
2016-07-27,37
2016-07-28,54
2016-07-29,44
2016-07-30,24
2016-07-31,32
2016-08-01,41
2016-08-02,72
2016-08-03,61
2016-08-04,35
2016-08-05,33
2016-08-06,31
2016-08-07,16
2016-08-08,51
2016-08-09,38
2016-08-10,44
2016-08-11,84
2016-08-12,28
2016-08-13,22
2016-08-14,18
2016-08-15,39
2016-08-16,48
2016-08-17,63
2016-08-18,46
2016-08-19,45
2016-08-20,28
2016-08-21,30
2016-08-22,40
2016-08-23,59
2016-08-24,59
2016-08-25,58
2016-08-26,37
2016-08-27,16
2016-08-28,14
2016-08-29,64
2016-08-30,67
2016-08-31,58
2016-09-01,51
2016-09-02,80
2016-09-03,34
2016-09-04,38
2016-09-05,49
2016-09-06,211
2016-09-07,53
2016-09-08,37
2016-09-09,39
2016-09-10,17
2016-09-11,23
2016-09-12,44
2016-09-13,39
2016-09-14,41
2016-09-15,83
2016-09-16,36
2016-09-17,35
2016-09-18,27
2016-09-19,46
2016-09-20,186
2016-09-21,32
2016-09-22,50
2016-09-23,62
2016-09-24,21
2016-09-25,31
2016-09-26,81
2016-09-27,49
2016-09-28,53
2016-09-29,65
2016-09-30,32
2016-10-01,28
2016-10-02,24
2016-10-03,43
2016-10-04,42
2016-10-05,31
2016-10-06,68
2016-10-07,106
2016-10-08,36
2016-10-09,45
2016-10-10,71
2016-10-11,46
2016-10-12,44
2016-10-13,45
2016-10-14,33
2016-10-15,28
2016-10-16,29
2016-10-17,81
2016-10-18,79
2016-10-19,34
2016-10-20,30
2016-10-21,136
2016-10-22,35
2016-10-23,27
2016-10-24,45
2016-10-25,49
2016-10-26,85
2016-10-27,65
2016-10-28,64
2016-10-29,26
2016-10-30,18
2016-10-31,34
2016-11-01,45
2016-11-02,60
2016-11-03,29
2016-11-04,34
2016-11-05,23
2016-11-06,29
2016-11-07,61
2016-11-08,26
2016-11-09,37
2016-11-10,30
2016-11-11,35
2016-11-12,14
2016-11-13,29
2016-11-14,56
2016-11-15,52
2016-11-16,26
2016-11-17,35
2016-11-18,46
2016-11-19,33
2016-11-20,28
2016-11-21,209
2016-11-22,47
2016-11-23,48
2016-11-24,62
2016-11-25,713
2016-11-26,19
2016-11-27,30
2016-11-28,40
2016-11-29,36
2016-11-30,37
2016-12-01,14
2016-12-02,69
2016-12-03,36
2016-12-04,30
2016-12-05,44
2016-12-06,39
2016-12-07,383
2016-12-08,39
2016-12-09,159
2016-12-10,20
2016-12-11,26
2016-12-12,173
2016-12-13,196
2016-12-14,48
2016-12-15,66
2016-12-16,65
2016-12-17,23
2016-12-18,25
2016-12-19,52
2016-12-20,55
2016-12-21,116
2016-12-22,61
2016-12-23,81
2016-12-24,18
2016-12-25,13
2016-12-26,26
2016-12-27,96
2016-12-28,39
2016-12-29,39
2016-12-30,38
2016-12-31,16
2017-01-01,22
2017-01-02,33
2017-01-03,77
2017-01-04,47
2017-01-05,66
2017-01-06,119
2017-01-07,45
2017-01-08,41
2017-01-09,85
2017-01-10,133
2017-01-11,79
2017-01-12,132
2017-01-13,41
2017-01-14,36
2017-01-15,58
2017-01-16,49
2017-01-17,56
2017-01-18,164
2017-01-19,133
2017-01-20,189
2017-01-21,38
2017-01-22,27
2017-01-23,57
2017-01-24,284
2017-01-25,72
2017-01-26,76
2017-01-27,117
2017-01-28,51
2017-01-29,49
2017-01-30,43
2017-01-31,197
2017-02-01,63
2017-02-02,243
2017-02-03,137
2017-02-04,40
2017-02-05,47
2017-02-06,143
2017-02-07,74
2017-02-08,62
2017-02-09,118
